σY,exp_action,expected_cost
"[387.83969720836615, 401.19846245326414, 393.88107676466916, 393.93564348589723, 395.54414145936914, 458.10940097464743, 417.14394552984754]",no_action,0.0
"[417.14394552984754, 411.7220066815711, 360.2934329250661, 315.68430574066286, 341.9030703297243, 332.30006793729285, 333.0183276440601]",no_action,200.0
"[333.0183276440601, 323.8396019388454, 361.4759026956568, 322.897439127, 337.9812972915249, 328.1342102495567, 319.54801573646137]",no_action,800.0
"[319.54801573646137, 333.73348685434485, 331.26577079064793, 346.4067389004193, 342.6752310076134, 371.0939482127553, 364.6479086287314]",no_action,200.0
"[364.6479086287314, 372.11580602797875, 325.381432199827, 340.04478954053053, 365.17401407728175, 370.24022375893367, 355.99129930524333]",no_action,0.0
"[355.99129930524333, 362.97078106954785, 367.75726323178895, 364.04325804965225, 361.26750196981044, 381.5711433433049, 372.2342833052143]",no_action,0.0
"[372.2342833052143, 392.77040310321956, 315.6310363188632, 315.3280409863481, 393.2737180354682, 391.54179025330905, 368.18283302806697]",no_action,0.0
"[368.18283302806697, 368.9849061327584, 381.2821901043295, 413.6928943241695, 416.4836338069515, 383.9200992451487, 386.42071297229353]",no_action,0.0
"[386.42071297229353, 351.99012729947736, 296.5796175513838, 317.8815163721202, 301.52967189471633, 316.71787060156373, 319.73787479573775]",increase_resistance,3000.0
"[319.73787479573775, 328.68305009618143, 332.76895543703006, 340.73982668640434, 337.07763799830576, 343.8042383751658, 350.6566518006065]",no_action,300.0
"[350.6566518006065, 365.95823669489334, 390.78927274497244, 398.0979396044058, 397.09356589007234, 406.02890339757295, 337.902117365376]",no_action,0.0
"[337.902117365376, 328.7817707672768, 303.0137723621631, 346.4272457427966, 362.3648680171238, 326.81248012189644, 322.9786986662367]",no_action,1400.0
"[322.9786986662367, 326.3765159437151, 341.83113241605173, 306.44830005614233, 230.25066280451384, 272.33772416443423, 325.14215341924256]",change_operation,5200.0
"[325.14215341924256, 292.104501604175, 252.72960606549088, 269.9035079697878, 363.2590682603991, 341.3230478192735, 341.01138091820445]",change_operation,5000.0
"[341.01138091820445, 320.46280488206816, 344.78960271946744, 334.21839350761155, 426.51817323480213, 343.86706987634113, 300.7289782759849]",no_action,1000.0
"[300.7289782759849, 289.1173726993, 304.9628079822572, 306.98958228423874, 329.0001484826651, 302.3953079812134, 311.7438218105816]",increase_resistance,3800.0
"[311.7438218105816, 305.6823090155242, 332.56989349044335, 318.5101410682183, 372.36220108309465, 364.91910126862416, 356.63328450922126]",no_action,200.0
"[356.63328450922126, 361.370341429034, 392.26548357832195, 385.4611108736233, 399.5561256808368, 364.0514263596668, 342.4517226364848]",no_action,0.0
"[342.4517226364848, 371.9755117905953, 416.39733208896155, 422.727772428923, 420.3965191183168, 406.37480189364834, 366.24709513812707]",no_action,0.0
"[366.24709513812707, 366.24709513812707, 370.56661155782075, 370.56661155782075, 370.56661155782075, 370.56661155782075, 378.7815290340984]",no_action,0.0
"[378.7815290340984, 388.05656350288314, 341.18876208365725, 381.3309927413076, 363.3650610680762, 342.99731681278683, 342.2481238548597]",no_action,0.0
"[342.2481238548597, 362.04803902995025, 379.51221658515936, 376.0876809523952, 359.93193738238705, 374.3164087731886, 370.21805790110534]",no_action,0.0
"[370.21805790110534, 386.4850297663482, 408.45805705541505, 408.45805705541505, 424.8505247919289, 424.8505247919289, 424.8505247919289]",no_action,0.0
"[424.8505247919289, 423.0773908133046, 423.0773908133046, 423.0773908133046, 423.0773908133046, 423.0773908133046, 419.4903941845783]",no_action,0.0
"[419.4903941845783, 419.4903941845783, 419.4903941845783, 419.4903941845783, 419.4903941845783, 419.4903941845783, 419.4903941845783]",no_action,0.0
"[419.4903941845783, 419.4903941845783, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465]",no_action,0.0
"[422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465]",no_action,0.0
"[422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465]",no_action,0.0
"[422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465, 422.27527279452465]",no_action,0.0
"[422.27527279452465, 422.27527279452465, 422.27527279452465, 425.55227486740193, 425.55227486740193, 425.55227486740193, 425.55227486740193]",no_action,0.0
"[425.55227486740193, 425.55227486740193, 420.793502571712, 420.793502571712, 420.793502571712, 420.793502571712, 420.793502571712]",no_action,0.0
"[420.793502571712, 420.793502571712, 423.3576422727826, 430.55636737643, 430.55636737643, 430.55636737643, 430.55636737643]",no_action,0.0
"[430.55636737643, 430.55636737643, 430.55636737643, 423.61504818337914, 423.5074618945287, 423.5074618945287, 423.5074618945287]",no_action,0.0
"[423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287]",no_action,0.0
"[423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287]",no_action,0.0
"[423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287]",no_action,0.0
"[423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287]",no_action,0.0
"[423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287]",no_action,0.0
"[423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287]",no_action,0.0
"[423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 423.5074618945287, 427.8057892072218]",no_action,0.0
"[427.8057892072218, 427.8057892072218, 427.8057892072218, 427.8057892072218, 427.8057892072218, 427.8057892072218, 427.8057892072218]",no_action,0.0
"[427.8057892072218, 427.8057892072218, 427.8057892072218, 427.8057892072218, 427.8057892072218, 427.8057892072218, 427.8057892072218]",no_action,0.0
"[427.8057892072218, 427.8057892072218, 427.8057892072218, 427.8057892072218, 413.45575424314245, 413.45575424314245, 426.89625359018873]",no_action,0.0
"[426.89625359018873, 443.6863033851057, 423.27530841750206, 423.2398469503986, 397.5050672239733, 330.6967002388447, 336.0305936714159]",no_action,100.0
"[336.0305936714159, 271.3128473280317, 313.4488816789774, 277.93301138679084, 290.8007765342478, 288.4671730361683, 394.65414739957504]",change_operation,5000.0
"[394.65414739957504, 281.13405434435685, 286.4945371911164, 314.7694257338232, 314.7694257338232, 315.98918886875083, 305.8069854005691]",increase_resistance,4500.0
"[305.8069854005691, 305.8069854005691, 305.427165774985, 325.3571195732636, 307.79530588603126, 303.16891197899344, 302.00082870097623]",increase_resistance,3500.0
"[302.00082870097623, 314.7693115761003, 291.23632831594665, 316.52385988970946, 333.833877738096, 253.32590187614417, 279.0082122895355]",change_operation,5100.0
"[279.0082122895355, 348.13054416816465, 354.9500002561785, 371.58724592254174, 354.9780478476016, 360.9539230757532, 378.3246910966104]",no_action,500.0
"[378.3246910966104, 410.6794295815388, 413.2115537711354, 377.97778667868886, 372.542002078532, 363.68274455049493, 370.81273213289546]",no_action,0.0
"[370.81273213289546, 386.853583738597, 306.5442507793691, 328.485846065812, 329.1010757814978, 334.91538876364365, 329.9726200312062]",no_action,500.0
"[329.9726200312062, 312.9249302893006, 309.06123928722525, 318.002355989896, 334.9791504905658, 333.395243300477, 397.0408800904072]",no_action,1700.0
"[397.0408800904072, 395.23761376023884, 419.27420614004023, 409.59513504528485, 411.19364942985914, 413.6178062695368, 412.38743398081294]",no_action,0.0
"[412.38743398081294, 412.38743398081294, 400.1240211725124, 356.2598005451681, 422.49868721019214, 378.5488472666232, 381.0700331904546]",no_action,0.0
"[381.0700331904546, 374.5975695644432, 386.2245705597138, 349.3355916473388, 372.3216063756461, 391.4312434729847, 368.96234878148357]",no_action,0.0
"[368.96234878148357, 400.1403522028544, 389.340684026543, 380.0646013741876, 322.0977088555199, 328.73685151866675, 327.0723189015988]",no_action,400.0
"[327.0723189015988, 331.2872769109422, 361.5330730959233, 283.6258267117734, 456.2313589341649, 347.5804530637962, 355.8526071869556]",no_action,3000.0
"[355.8526071869556, 348.78692967556924, 339.2096107761134, 328.8932529728819, 326.66546173132406, 298.3748291884921, 304.642882786978]",no_action,1800.0
"[304.642882786978, 348.7112297787857, 386.3407218094864, 428.2437701164849, 428.2437701164849, 422.9650817725879, 422.9650817725879]",no_action,0.0
"[422.9650817725879, 414.983746881533, 426.0042332889312, 410.52490693404303, 410.52490693404303, 410.52490693404303, 410.52490693404303]",no_action,0.0
"[410.52490693404303, 410.52490693404303, 410.52490693404303, 410.52490693404303, 410.52490693404303, 410.52490693404303, 410.52490693404303]",no_action,0.0
"[410.52490693404303, 410.52490693404303, 430.68381763690485, 430.68381763690485, 432.37545924321097, 432.6060625044851, 432.6060625044851]",no_action,0.0
"[432.6060625044851, 432.6060625044851, 432.6060625044851, 432.6060625044851, 432.6060625044851, 426.1568413320441, 426.1568413320441]",no_action,0.0
"[426.1568413320441, 426.1568413320441, 426.1568413320441, 426.1568413320441, 424.22662558503623, 424.22662558503623, 421.62355484865645]",no_action,0.0
"[421.62355484865645, 417.78838358694605, 414.6265825108037, 413.6006350813666, 413.6006350813666, 413.6006350813666, 413.6006350813666]",no_action,0.0
"[413.6006350813666, 409.89614752999603, 409.89614752999603, 409.89614752999603, 409.89614752999603, 409.89614752999603, 409.89614752999603]",no_action,0.0
"[409.89614752999603, 397.9080101637018, 397.9080101637018, 397.9080101637018, 397.9080101637018, 397.9080101637018, 394.95453556794484]",no_action,0.0
